date,review_count,snapshot_date
2016-07-31,446,"21 June, 2025"
2016-08-31,458,"21 June, 2025"
2016-09-30,528,"21 June, 2025"
2016-10-31,680,"21 June, 2025"
2016-11-30,641,"21 June, 2025"
2016-12-31,695,"21 June, 2025"
2017-01-31,608,"21 June, 2025"
2017-02-28,667,"21 June, 2025"
2017-03-31,735,"21 June, 2025"
2017-04-30,898,"21 June, 2025"
2017-05-31,885,"21 June, 2025"
2017-06-30,866,"21 June, 2025"
2017-07-31,763,"21 June, 2025"
2017-08-31,678,"21 June, 2025"
2017-09-30,882,"21 June, 2025"
2017-10-31,936,"21 June, 2025"
2017-11-30,735,"21 June, 2025"
2017-12-31,930,"21 June, 2025"
2018-01-31,802,"21 June, 2025"
2018-02-28,800,"21 June, 2025"
2018-03-31,977,"21 June, 2025"
2018-04-30,1165,"21 June, 2025"
2018-05-31,1184,"21 June, 2025"
2018-06-30,1165,"21 June, 2025"
2018-07-31,1209,"21 June, 2025"
2018-08-31,1180,"21 June, 2025"
2018-09-30,1299,"21 June, 2025"
2018-10-31,1505,"21 June, 2025"
2018-11-30,1362,"21 June, 2025"
2018-12-31,1400,"21 June, 2025"
2019-01-31,1200,"21 June, 2025"
2019-02-28,1320,"21 June, 2025"
2019-03-31,1561,"21 June, 2025"
2019-04-30,1652,"21 June, 2025"
2019-05-31,1654,"21 June, 2025"
2019-06-30,1763,"21 June, 2025"
2019-07-31,1676,"21 June, 2025"
2019-08-31,1475,"21 June, 2025"
2019-09-30,1880,"21 June, 2025"
2019-10-31,2072,"21 June, 2025"
2019-11-30,1840,"21 June, 2025"
2019-12-31,1987,"21 June, 2025"
2020-01-31,1598,"21 June, 2025"
2020-02-29,1813,"21 June, 2025"
2020-03-31,874,"21 June, 2025"
2020-04-30,58,"21 June, 2025"
2020-05-31,84,"21 June, 2025"
2020-06-30,309,"21 June, 2025"
2020-07-31,888,"21 June, 2025"
2020-08-31,838,"21 June, 2025"
2020-09-30,620,"21 June, 2025"
2020-10-31,533,"21 June, 2025"
2020-11-30,286,"21 June, 2025"
2020-12-31,377,"21 June, 2025"
2021-01-31,432,"21 June, 2025"
2021-02-28,432,"21 June, 2025"
2021-03-31,393,"21 June, 2025"
2021-04-30,431,"21 June, 2025"
2021-05-31,857,"21 June, 2025"
2021-06-30,766,"21 June, 2025"
2021-07-31,1241,"21 June, 2025"
2021-08-31,1756,"21 June, 2025"
2021-09-30,1580,"21 June, 2025"
2021-10-31,1939,"21 June, 2025"
2021-11-30,2156,"21 June, 2025"
2021-12-31,2027,"21 June, 2025"
2022-01-31,1623,"21 June, 2025"
2022-02-28,1751,"21 June, 2025"
2022-03-31,2230,"21 June, 2025"
2022-04-30,2977,"21 June, 2025"
2022-05-31,3276,"21 June, 2025"
2022-06-30,3359,"21 June, 2025"
2022-07-31,3976,"21 June, 2025"
2022-08-31,3996,"21 June, 2025"
2022-09-30,3557,"21 June, 2025"
2022-10-31,4060,"21 June, 2025"
2022-11-30,3925,"21 June, 2025"
2022-12-31,3900,"21 June, 2025"
2023-01-31,3322,"21 June, 2025"
2023-02-28,3574,"21 June, 2025"
2023-03-31,4401,"21 June, 2025"
2023-04-30,5282,"21 June, 2025"
2023-05-31,5662,"21 June, 2025"
2023-06-30,5353,"21 June, 2025"
2023-07-31,5878,"21 June, 2025"
2023-08-31,5459,"21 June, 2025"
2023-09-30,5690,"21 June, 2025"
2023-10-31,6520,"21 June, 2025"
2023-11-30,5362,"21 June, 2025"
2023-12-31,5818,"21 June, 2025"
2024-01-31,4558,"21 June, 2025"
2024-02-29,4933,"21 June, 2025"
2024-03-31,6395,"21 June, 2025"
2024-04-30,7457,"21 June, 2025"
2024-05-31,7765,"21 June, 2025"
2024-06-30,7266,"21 June, 2025"
2024-07-31,7913,"21 June, 2025"
2024-08-31,7553,"21 June, 2025"
2024-09-30,7497,"21 June, 2025"
2024-10-31,8658,"21 June, 2025"
2024-11-30,8077,"21 June, 2025"
2024-12-31,9446,"21 June, 2025"
2025-01-31,6737,"21 June, 2025"
2025-02-28,7350,"21 June, 2025"
2025-03-31,9189,"21 June, 2025"
2025-04-30,11099,"21 June, 2025"
2025-05-31,11874,"21 June, 2025"
2025-06-30,5335,"21 June, 2025"
2010-11-30,2,"22 December, 2024"
2010-12-31,0,"22 December, 2024"
2011-01-31,0,"22 December, 2024"
2011-02-28,1,"22 December, 2024"
2011-03-31,3,"22 December, 2024"
2011-04-30,0,"22 December, 2024"
2011-05-31,11,"22 December, 2024"
2011-06-30,10,"22 December, 2024"
2011-07-31,2,"22 December, 2024"
2011-08-31,5,"22 December, 2024"
2011-09-30,17,"22 December, 2024"
2011-10-31,6,"22 December, 2024"
2011-11-30,7,"22 December, 2024"
2011-12-31,2,"22 December, 2024"
2012-01-31,4,"22 December, 2024"
2012-02-29,2,"22 December, 2024"
2012-03-31,7,"22 December, 2024"
2012-04-30,5,"22 December, 2024"
2012-05-31,13,"22 December, 2024"
2012-06-30,10,"22 December, 2024"
2012-07-31,10,"22 December, 2024"
2012-08-31,11,"22 December, 2024"
2012-09-30,19,"22 December, 2024"
2012-10-31,30,"22 December, 2024"
2012-11-30,26,"22 December, 2024"
2012-12-31,24,"22 December, 2024"
2013-01-31,16,"22 December, 2024"
2013-02-28,20,"22 December, 2024"
2013-03-31,38,"22 December, 2024"
2013-04-30,42,"22 December, 2024"
2013-05-31,40,"22 December, 2024"
2013-06-30,39,"22 December, 2024"
2013-07-31,47,"22 December, 2024"
2013-08-31,35,"22 December, 2024"
2013-09-30,68,"22 December, 2024"
2013-10-31,83,"22 December, 2024"
2013-11-30,75,"22 December, 2024"
2013-12-31,65,"22 December, 2024"
