date,review_count,snapshot_date
2017-05-31,10117,"06 December, 2024"
2017-06-30,11590,"06 December, 2024"
2017-07-31,11941,"06 December, 2024"
2017-08-31,8148,"06 December, 2024"
2017-09-30,10545,"06 December, 2024"
2017-10-31,11036,"06 December, 2024"
2017-11-30,7950,"06 December, 2024"
2017-12-31,8139,"06 December, 2024"
2018-01-31,9383,"06 December, 2024"
2018-02-28,7515,"06 December, 2024"
2018-03-31,10448,"06 December, 2024"
2018-04-30,12336,"06 December, 2024"
2018-05-31,13066,"06 December, 2024"
2018-06-30,15097,"06 December, 2024"
2018-07-31,16104,"06 December, 2024"
2018-08-31,12675,"06 December, 2024"
2018-09-30,15491,"06 December, 2024"
2018-10-31,16457,"06 December, 2024"
2018-11-30,12908,"06 December, 2024"
2018-12-31,11412,"06 December, 2024"
2019-01-31,12407,"06 December, 2024"
2019-02-28,10168,"06 December, 2024"
2019-03-31,13825,"06 December, 2024"
2019-04-30,16524,"06 December, 2024"
2019-05-31,16499,"06 December, 2024"
2019-06-30,21147,"06 December, 2024"
2019-07-31,18999,"06 December, 2024"
2019-08-31,14817,"06 December, 2024"
2019-09-30,18820,"06 December, 2024"
2019-10-31,18134,"06 December, 2024"
2019-11-30,14904,"06 December, 2024"
2019-12-31,12838,"06 December, 2024"
2020-01-31,14957,"06 December, 2024"
2020-02-29,13226,"06 December, 2024"
2020-03-31,7163,"06 December, 2024"
2020-04-30,425,"06 December, 2024"
2020-05-31,954,"06 December, 2024"
2020-06-30,2537,"06 December, 2024"
2020-07-31,6055,"06 December, 2024"
2020-08-31,6540,"06 December, 2024"
2020-09-30,5952,"06 December, 2024"
2020-10-31,6401,"06 December, 2024"
2020-11-30,1873,"06 December, 2024"
2020-12-31,3635,"06 December, 2024"
2021-01-31,4598,"06 December, 2024"
2021-02-28,4568,"06 December, 2024"
2021-03-31,4143,"06 December, 2024"
2021-04-30,2950,"06 December, 2024"
2021-05-31,5560,"06 December, 2024"
2021-06-30,8621,"06 December, 2024"
2021-07-31,14166,"06 December, 2024"
2021-08-31,15293,"06 December, 2024"
2021-09-30,15810,"06 December, 2024"
2021-10-31,19139,"06 December, 2024"
2021-11-30,19120,"06 December, 2024"
2021-12-31,17538,"06 December, 2024"
2022-01-31,14411,"06 December, 2024"
2022-02-28,15257,"06 December, 2024"
2022-03-31,20257,"06 December, 2024"
2022-04-30,24910,"06 December, 2024"
2022-05-31,28064,"06 December, 2024"
2022-06-30,29116,"06 December, 2024"
2022-07-31,34278,"06 December, 2024"
2022-08-31,28890,"06 December, 2024"
2022-09-30,29334,"06 December, 2024"
2022-10-31,31216,"06 December, 2024"
2022-11-30,25838,"06 December, 2024"
2022-12-31,22999,"06 December, 2024"
2023-01-31,25519,"06 December, 2024"
2023-02-28,23021,"06 December, 2024"
