neighbourhood,listing_count,median_price,snapshot_date
Schönholz/Wilhelmsruh/Rosenthal,21,109.0,"20 June, 2025"
Siemensstadt,8,74.0,"20 June, 2025"
Spandau Mitte,21,126.0,"20 June, 2025"
Südliche Friedrichstadt,172,139.0,"20 June, 2025"
Teltower Damm,29,85.0,"20 June, 2025"
Tempelhof,143,101.0,"20 June, 2025"
Tempelhofer Vorstadt,429,105.0,"20 June, 2025"
Tiergarten Süd,118,151.0,"20 June, 2025"
Volkspark Wilmersdorf,85,102.0,"20 June, 2025"
Wedding Zentrum,115,98.0,"20 June, 2025"
Weißensee,102,91.5,"20 June, 2025"
Weißensee Ost,16,82.0,"20 June, 2025"
West 1,12,78.5,"20 June, 2025"
West 2,13,72.0,"20 June, 2025"
West 3,5,69.0,"20 June, 2025"
West 4,15,69.0,"20 June, 2025"
West 5,15,249.0,"20 June, 2025"
Westend,59,97.0,"20 June, 2025"
Wiesbadener Straße,27,129.0,"20 June, 2025"
Wilhelmstadt,17,120.0,"20 June, 2025"
Zehlendorf  Nord,45,77.0,"20 June, 2025"
Zehlendorf  Südwest,30,95.0,"20 June, 2025"
nördliche Luisenstadt,150,94.5,"20 June, 2025"
südliche Luisenstadt,236,108.5,"20 June, 2025"
Adlershof,34,91.5,"21 December, 2024"
Albrechtstr.,61,80.0,"21 December, 2024"
Alexanderplatz,689,120.0,"21 December, 2024"
Allende-Viertel,3,46.0,"21 December, 2024"
Alt  Treptow,57,83.0,"21 December, 2024"
Alt-Hohenschönhausen Nord,12,70.0,"21 December, 2024"
Alt-Hohenschönhausen Süd,19,86.0,"21 December, 2024"
Alt-Lichtenberg,30,92.0,"21 December, 2024"
Altglienicke,16,74.0,"21 December, 2024"
Altstadt-Kietz,8,100.0,"21 December, 2024"
Barstraße,28,80.0,"21 December, 2024"
Baumschulenweg,16,55.5,"21 December, 2024"
Biesdorf,27,80.0,"21 December, 2024"
Blankenburg/Heinersdorf/Märchenland,23,73.0,"21 December, 2024"
Blankenfelde/Niederschönhausen,46,90.0,"21 December, 2024"
Bohnsdorf,19,68.0,"21 December, 2024"
Britz,33,80.0,"21 December, 2024"
Brunnenstr. Nord,152,128.0,"21 December, 2024"
Brunnenstr. Süd,371,138.0,"21 December, 2024"
Brunsbütteler Damm,9,80.0,"21 December, 2024"
Buch,11,70.0,"21 December, 2024"
Buchholz,17,85.0,"21 December, 2024"
Buckow,17,65.0,"21 December, 2024"
Buckow Nord,8,86.5,"21 December, 2024"
Charlottenburg Nord,7,49.0,"21 December, 2024"
Dammvorstadt,11,100.0,"21 December, 2024"
Drakestr.,52,98.0,"21 December, 2024"
Düsseldorfer Straße,152,90.5,"21 December, 2024"
Falkenhagener Feld,9,52.0,"21 December, 2024"
Fennpfuhl,9,60.0,"21 December, 2024"
Forst Grunewald,6,171.0,"21 December, 2024"
Frankfurter Allee Nord,161,100.0,"21 December, 2024"
Frankfurter Allee Süd,1,50.0,"21 December, 2024"
Frankfurter Allee Süd FK,463,99.0,"21 December, 2024"
Friedenau,65,103.0,"21 December, 2024"
Friedrichsfelde Nord,26,105.0,"21 December, 2024"
Friedrichsfelde Süd,8,52.0,"21 December, 2024"
Friedrichshagen,28,107.0,"21 December, 2024"
Gatow / Kladow,16,79.5,"21 December, 2024"
Gropiusstadt,4,84.5,"21 December, 2024"
Grunewald,57,86.0,"21 December, 2024"
Grünau,15,85.0,"21 December, 2024"
Hakenfelde,8,97.5,"21 December, 2024"
Halensee,50,95.5,"21 December, 2024"
Haselhorst,9,250.0,"21 December, 2024"
Heerstrasse,25,85.0,"21 December, 2024"
Heerstraße Nord,14,79.5,"21 December, 2024"
Hellersdorf-Nord,9,67.0,"21 December, 2024"
Hellersdorf-Ost,1,30.0,"21 December, 2024"
Hellersdorf-Süd,3,29.0,"21 December, 2024"
Helmholtzplatz,162,115.0,"21 December, 2024"
Johannisthal,22,65.0,"21 December, 2024"
Kantstraße,72,96.0,"21 December, 2024"
Karl-Marx-Allee-Nord,101,100.0,"21 December, 2024"
Karl-Marx-Allee-Süd,166,90.0,"21 December, 2024"
Karlshorst,46,93.5,"21 December, 2024"
Karow,9,90.0,"21 December, 2024"
Kaulsdorf,13,84.0,"21 December, 2024"
Kurfürstendamm,100,129.0,"21 December, 2024"
Kölln. Vorstadt/Spindlersf.,9,60.0,"21 December, 2024"
Köllnische Heide,14,79.5,"21 December, 2024"
Köpenick-Nord,16,72.5,"21 December, 2024"
Köpenick-Süd,9,75.0,"21 December, 2024"
Lankwitz,7,95.0,"21 December, 2024"
Lichtenrade,23,77.0,"21 December, 2024"
MV 1,4,99.5,"21 December, 2024"
MV 2,18,61.0,"21 December, 2024"
Mahlsdorf,23,75.0,"21 December, 2024"
"Malchow, Wartenberg und Falkenberg",5,65.0,"21 December, 2024"
Mariendorf,32,99.0,"21 December, 2024"
Marienfelde,12,126.5,"21 December, 2024"
Marzahn-Mitte,6,53.0,"21 December, 2024"
Marzahn-Nord,1,45.0,"21 December, 2024"
Marzahn-Süd,14,130.0,"21 December, 2024"
Mierendorffplatz,30,90.0,"21 December, 2024"
Moabit Ost,141,90.0,"21 December, 2024"
Moabit West,166,90.0,"21 December, 2024"
Müggelheim,18,126.0,"21 December, 2024"
Neu Lichtenberg,59,93.0,"21 December, 2024"
Neu-Hohenschönhausen Nord,1,28.0,"21 December, 2024"
Neu-Hohenschönhausen Süd,2,82.0,"21 December, 2024"
Neue Kantstraße,96,100.0,"21 December, 2024"
Neuköllner Mitte/Zentrum,170,94.0,"21 December, 2024"
Niederschöneweide,27,94.0,"21 December, 2024"
Nord 1,21,65.0,"21 December, 2024"
Nord 2,10,95.5,"21 December, 2024"
Oberschöneweide,58,70.5,"21 December, 2024"
Osloer Straße,65,79.0,"21 December, 2024"
Ost 1,15,70.0,"21 December, 2024"
Ost 2,29,75.0,"21 December, 2024"
Ostpreußendamm,28,49.5,"21 December, 2024"
Otto-Suhr-Allee,130,95.5,"21 December, 2024"
Pankow Süd,56,82.5,"21 December, 2024"
Pankow Zentrum,54,92.5,"21 December, 2024"
Parkviertel,74,74.0,"21 December, 2024"
Plänterwald,25,98.0,"21 December, 2024"
Prenzlauer Berg Nord,129,99.0,"21 December, 2024"
Prenzlauer Berg Nordwest,191,90.0,"21 December, 2024"
Prenzlauer Berg Ost,76,99.5,"21 December, 2024"
Prenzlauer Berg Süd,193,100.0,"21 December, 2024"
Prenzlauer Berg Südwest,282,125.0,"21 December, 2024"
Rahnsdorf/Hessenwinkel,25,127.0,"21 December, 2024"
Regierungsviertel,104,141.0,"21 December, 2024"
Reuterstraße,214,87.5,"21 December, 2024"
Rixdorf,112,93.0,"21 December, 2024"
Rudow,48,71.0,"21 December, 2024"
Rummelsburger Bucht,27,105.0,"21 December, 2024"
Schillerpromenade,136,99.5,"21 December, 2024"
Schloß Charlottenburg,63,75.0,"21 December, 2024"
Schloßstr.,33,62.0,"21 December, 2024"
Schmargendorf,32,160.5,"21 December, 2024"
Schmöckwitz/Karolinenhof/Rauchfangswerder,29,103.0,"21 December, 2024"
Schöneberg-Nord,215,80.0,"21 December, 2024"
Schöneberg-Süd,164,94.5,"21 December, 2024"
Schönholz/Wilhelmsruh/Rosenthal,19,109.0,"21 December, 2024"
Siemensstadt,11,70.0,"21 December, 2024"
Spandau Mitte,21,120.0,"21 December, 2024"
Südliche Friedrichstadt,167,100.0,"21 December, 2024"
Teltower Damm,29,85.0,"21 December, 2024"
Tempelhof,150,90.0,"21 December, 2024"
Tempelhofer Vorstadt,416,90.0,"21 December, 2024"
Tiergarten Süd,107,104.0,"21 December, 2024"
Volkspark Wilmersdorf,82,83.0,"21 December, 2024"
Wedding Zentrum,120,90.0,"21 December, 2024"
Weißensee,98,95.0,"21 December, 2024"
Weißensee Ost,13,86.0,"21 December, 2024"
West 1,9,95.0,"21 December, 2024"
West 2,15,72.0,"21 December, 2024"
West 3,5,59.0,"21 December, 2024"
West 4,18,66.5,"21 December, 2024"
West 5,11,288.0,"21 December, 2024"
Westend,54,98.5,"21 December, 2024"
Wiesbadener Straße,28,122.0,"21 December, 2024"
Wilhelmstadt,18,85.5,"21 December, 2024"
Zehlendorf  Nord,44,86.5,"21 December, 2024"
Zehlendorf  Südwest,25,100.0,"21 December, 2024"
nördliche Luisenstadt,147,95.0,"21 December, 2024"
südliche Luisenstadt,236,107.0,"21 December, 2024"
Adlershof,31,95.0,"23 September, 2025"
Albrechtstr.,56,86.0,"23 September, 2025"
Alexanderplatz,725,142.0,"23 September, 2025"
Allende-Viertel,3,33.0,"23 September, 2025"
Alt  Treptow,50,94.0,"23 September, 2025"
Alt-Hohenschönhausen Nord,10,68.5,"23 September, 2025"
Alt-Hohenschönhausen Süd,12,105.5,"23 September, 2025"
Alt-Lichtenberg,32,109.5,"23 September, 2025"
Altglienicke,23,62.0,"23 September, 2025"
Altstadt-Kietz,5,139.0,"23 September, 2025"
Barstraße,33,99.0,"23 September, 2025"
Baumschulenweg,20,82.5,"23 September, 2025"
Biesdorf,26,79.5,"23 September, 2025"
Blankenburg/Heinersdorf/Märchenland,27,68.0,"23 September, 2025"
Blankenfelde/Niederschönhausen,42,98.0,"23 September, 2025"
Bohnsdorf,24,63.5,"23 September, 2025"
Britz,29,97.0,"23 September, 2025"
Brunnenstr. Nord,161,150.0,"23 September, 2025"
Brunnenstr. Süd,402,145.5,"23 September, 2025"
Brunsbütteler Damm,13,93.0,"23 September, 2025"
Buch,10,67.0,"23 September, 2025"
Buchholz,25,79.0,"23 September, 2025"
Buckow,20,99.0,"23 September, 2025"
Buckow Nord,3,67.0,"23 September, 2025"
Charlottenburg Nord,6,77.0,"23 September, 2025"
Dammvorstadt,5,132.0,"23 September, 2025"
Drakestr.,49,95.0,"23 September, 2025"
Düsseldorfer Straße,170,110.0,"23 September, 2025"
Falkenhagener Feld,9,54.0,"23 September, 2025"
Fennpfuhl,11,55.0,"23 September, 2025"
Forst Grunewald,4,130.0,"23 September, 2025"
Frankfurter Allee Nord,156,104.5,"23 September, 2025"
Frankfurter Allee Süd,5,52.0,"23 September, 2025"
Frankfurter Allee Süd FK,477,108.0,"23 September, 2025"
Friedenau,60,110.0,"23 September, 2025"
Friedrichsfelde Nord,23,110.0,"23 September, 2025"
Friedrichsfelde Süd,8,53.0,"23 September, 2025"
Friedrichshagen,33,128.0,"23 September, 2025"
Gatow / Kladow,17,88.0,"23 September, 2025"
Gropiusstadt,5,78.0,"23 September, 2025"
Grunewald,64,109.5,"23 September, 2025"
Grünau,16,85.5,"23 September, 2025"
Hakenfelde,10,98.5,"23 September, 2025"
Halensee,63,84.0,"23 September, 2025"
Haselhorst,6,236.5,"23 September, 2025"
Heerstrasse,40,84.0,"23 September, 2025"
Heerstraße Nord,18,65.0,"23 September, 2025"
Hellersdorf-Nord,9,59.0,"23 September, 2025"
Hellersdorf-Ost,1,30.0,"23 September, 2025"
Hellersdorf-Süd,2,33.0,"23 September, 2025"
Helmholtzplatz,157,119.0,"23 September, 2025"
Johannisthal,25,69.0,"23 September, 2025"
Kantstraße,85,100.0,"23 September, 2025"
Karl-Marx-Allee-Nord,105,102.0,"23 September, 2025"
Karl-Marx-Allee-Süd,183,100.0,"23 September, 2025"
Karlshorst,50,135.0,"23 September, 2025"
Karow,10,85.5,"23 September, 2025"
Kaulsdorf,15,85.0,"23 September, 2025"
Kurfürstendamm,139,138.0,"23 September, 2025"
Kölln. Vorstadt/Spindlersf.,9,90.0,"23 September, 2025"
Köllnische Heide,15,93.0,"23 September, 2025"
Köpenick-Nord,14,64.0,"23 September, 2025"
Köpenick-Süd,11,68.0,"23 September, 2025"
Lankwitz,9,70.0,"23 September, 2025"
Lichtenrade,21,76.0,"23 September, 2025"
MV 1,3,122.0,"23 September, 2025"
MV 2,18,84.0,"23 September, 2025"
Mahlsdorf,21,90.0,"23 September, 2025"
"Malchow, Wartenberg und Falkenberg",5,120.0,"23 September, 2025"
Mariendorf,30,97.5,"23 September, 2025"
Marienfelde,8,67.5,"23 September, 2025"
Marzahn-Mitte,6,53.0,"23 September, 2025"
Marzahn-Nord,1,45.0,"23 September, 2025"
Marzahn-Süd,18,121.0,"23 September, 2025"
Mierendorffplatz,36,99.0,"23 September, 2025"
Moabit Ost,153,87.0,"23 September, 2025"
Moabit West,157,92.0,"23 September, 2025"
Müggelheim,19,136.0,"23 September, 2025"
Neu Lichtenberg,62,101.0,"23 September, 2025"
Neu-Hohenschönhausen Nord,1,32.0,"23 September, 2025"
Neu-Hohenschönhausen Süd,1,45.0,"23 September, 2025"
Neue Kantstraße,89,113.0,"23 September, 2025"
Neuköllner Mitte/Zentrum,169,93.0,"23 September, 2025"
Niederschöneweide,22,113.5,"23 September, 2025"
Nord 1,19,60.0,"23 September, 2025"
Nord 2,11,73.0,"23 September, 2025"
Oberschöneweide,57,85.0,"23 September, 2025"
Osloer Straße,69,85.0,"23 September, 2025"
Ost 1,18,65.5,"23 September, 2025"
Ost 2,31,52.0,"23 September, 2025"
Ostpreußendamm,26,51.0,"23 September, 2025"
Otto-Suhr-Allee,123,104.0,"23 September, 2025"
Pankow Süd,61,83.0,"23 September, 2025"
Pankow Zentrum,55,115.0,"23 September, 2025"
Parkviertel,91,72.0,"23 September, 2025"
Plänterwald,28,90.5,"23 September, 2025"
Prenzlauer Berg Nord,130,113.5,"23 September, 2025"
Prenzlauer Berg Nordwest,193,97.0,"23 September, 2025"
Prenzlauer Berg Ost,69,116.0,"23 September, 2025"
Prenzlauer Berg Süd,197,125.0,"23 September, 2025"
Prenzlauer Berg Südwest,290,144.0,"23 September, 2025"
Rahnsdorf/Hessenwinkel,29,100.0,"23 September, 2025"
Regierungsviertel,98,159.0,"23 September, 2025"
Reuterstraße,181,90.0,"23 September, 2025"
Rixdorf,122,88.5,"23 September, 2025"
Rudow,47,72.0,"23 September, 2025"
Rummelsburger Bucht,30,120.0,"23 September, 2025"
Schillerpromenade,140,98.5,"23 September, 2025"
Schloß Charlottenburg,67,66.0,"23 September, 2025"
Schloßstr.,41,95.0,"23 September, 2025"
Schmargendorf,34,172.0,"23 September, 2025"
Schmöckwitz/Karolinenhof/Rauchfangswerder,27,122.0,"23 September, 2025"
Schöneberg-Nord,212,85.0,"23 September, 2025"
Schöneberg-Süd,163,103.0,"23 September, 2025"
Schönholz/Wilhelmsruh/Rosenthal,21,105.0,"23 September, 2025"
Siemensstadt,9,76.0,"23 September, 2025"
Spandau Mitte,16,120.5,"23 September, 2025"
Südliche Friedrichstadt,180,125.0,"23 September, 2025"
Teltower Damm,27,85.0,"23 September, 2025"
Tempelhof,144,101.5,"23 September, 2025"
Tempelhofer Vorstadt,420,97.5,"23 September, 2025"
